q,a
什么情况下公司不会准假病假？,病假理由不充分或有碍工作进度，公司可不予准假。一年内累计不能超过 20 天。病假扣除事假相应天数工资，期间无其他奖金、福利和补助。
婚假的具体内容是什么？,员工通过试用期考核，转正后可享受 10 天婚假，婚假按国家规定必须为连续不间断计算，一次休完，包括法定节假日和双休日。员工婚假必须是进入本公司后注册结婚且在注册日起 1 年内申请，逾期视为放弃婚假权利。注：如国家政策有变，按最新政策执行，不再另行约定。
产假的具体内容是什么？,符合国家计划生育条例规定的女员工依法享受相应产假，在产前 15 天开始计入产假。配偶生育的给予男员工相应陪产假。2、孕期女员工在工作时间内进行产前检查必须提供政府计生部门出具的准生证明原件及当地区级或二级以上医院开具的产检证明，则视同出勤，产检假期如下：怀孕第 1-6 个月，每个月可享受 1 天假期;怀孕第 7-8 个月，每月可享受 2 天假期;怀孕 9 个月以上，每月可享受 4 天假期，但其中 2 天已包括在预产假中。产检假提前至少 1 天在钉钉申请。3、女员工申请产假前须提供准生证明原件，提前至少 3 天在钉钉申请产假，人力资源部审核确认并存档。在产后 90 天内将婴儿出生证明原件及其他证明原件交至人力资源部，以便核实具体产假时间及办理相关生育费用报销手续。4、女员工在婴儿 1 周岁以前，公司给予其每天 1 小时的哺乳时间，对于生育多胞胎的，每多 1 个婴儿每天增加 1 小时哺乳时间。具体时间须提前与直属上级和部门负责人协商，报人力资源部审核确认并存档。5、男员工申请陪产假必须提供婴儿出生证明原件和结婚证原件，自婴儿出生后 2 个月内休完，逾期视其自动放弃休假，且公司不予任何形式补偿。试用期男员工陪产假需转正后方可申请。6、产假、产检假、陪产假、流产、男女员工节育假期按国家规定必须为连续不间断计算，均包括法定节假日和双休日。产假及相关衍生假期间按照不低于当地最低工资标准发放工资，待生育津贴报销后补齐差额，不计发其他奖金福利补助。7、违反国家计划生育条例规定的女员工不享受产假与产检假期间的工资待遇及其他奖金福利补助，期间按事假规定处理，且自行承担生育等费用。
丧假的具体内容是什么？,员工直系亲属（父母、配偶、子女、配偶父母）丧亡，可申请丧假 3 天。非直系亲属（祖父母、外祖父母、兄弟姐妹）丧亡，可申请丧假 1 天。丧假必须为连续不间断计算。员工申请丧假在钉钉流程申请丧假，丧假期间全额发放工资，不计发其他奖金福利补助。
年假的具体内容是什么？,员工转正后享有 5 天及以上带薪年假（具体年假基数见下表）。此后司龄每增加一年，年假增加一天，最多 10 天。新入职员工，当年度（均指公历自然年度）年假天数按照员工在本公司已服务日历天数折算确定，计算方法为：（本公司工作日历天数÷365 天）×应享受的年假天
什么是人力资源部对于申请的带薪假期的最终审核权？,人力资源部对于申请的所有带薪假期（调休、年假、法定节假日、婚假、产假、产检假、陪产假、丧假）具有最终审核权，根据所有带薪假期提供的相应证明原件审核带薪假期资格，审核未通过将做普通事假处理。
如果在审核带薪假期资格时，发现相关证明原件可能为伪造虚报，公司会有什么处理？,一经查证，作旷工处理，情节严重者给予内部严重警告，将全公司发通告，将视情节恶劣程度，最高给予开除处理，且不承担任何经济补偿。
试用期员工在试用期间需要达到多少出勤率？,试用期员工在试用期间出勤率必须达到 95% 及以上，否则视为不符合岗位录用条件，公司有权即时解除劳动关系，终止劳动合同。
如果试用期员工因特殊情况请假累计超过 5 天，需要提出什么申请？,员工须提出书面情况说明，申请获批后与公司协商变更试用期周期及出勤率方可请假。
本制度从什么时间开始生效执行？,本制度从 2023 年 5 月 1 日起生效执行。
本制度由哪个部门负责解释及修订？,本制度由人力资源部负责解释及修订，未尽事宜另行通知说明。
